,din_instante,val_geracao,Estacao
702,2019-12-04,648.921,Primavera
703,2019-12-05,507.498,Primavera
704,2019-12-06,510.724,Primavera
705,2019-12-07,763.157,Primavera
706,2019-12-08,792.564,Primavera
707,2019-12-09,604.9739999999999,Primavera
708,2019-12-10,540.061,Primavera
709,2019-12-11,359.956,Primavera
710,2019-12-12,545.859,Primavera
711,2019-12-13,627.077,Primavera
712,2019-12-14,501.841,Primavera
713,2019-12-15,615.63,Primavera
714,2019-12-16,593.856,Primavera
715,2019-12-17,532.874,Primavera
716,2019-12-18,459.662,Primavera
717,2019-12-19,357.282,Primavera
718,2019-12-20,647.295,Primavera
719,2019-12-21,392.573,Verão
720,2019-12-22,353.273,Verão
721,2019-12-23,455.749,Verão
722,2019-12-24,638.13,Verão
723,2019-12-25,672.092,Verão
724,2019-12-26,730.643,Verão
725,2019-12-27,821.91,Verão
726,2019-12-28,779.069,Verão
727,2019-12-29,694.672,Verão
728,2019-12-30,674.855,Verão
729,2019-12-31,696.583,Verão
730,2020-01-01,601.819,Verão
731,2020-01-02,569.995,Verão
732,2020-01-03,569.268,Verão
733,2020-01-04,568.541,Verão
734,2020-01-05,492.003,Verão
735,2020-01-06,634.232,Verão
736,2020-01-07,415.52500000000003,Verão
737,2020-01-08,380.145,Verão
738,2020-01-09,483.368,Verão
739,2020-01-10,519.249,Verão
740,2020-01-11,507.942,Verão
741,2020-01-12,396.693,Verão
742,2020-01-13,467.008,Verão
743,2020-01-14,646.183,Verão
744,2020-01-15,704.721,Verão
745,2020-01-16,607.121,Verão
746,2020-01-17,579.399,Verão
747,2020-01-18,632.776,Verão
748,2020-01-19,668.612,Verão
749,2020-01-20,605.463,Verão
750,2020-01-21,641.398,Verão
751,2020-01-22,517.7090000000001,Verão
752,2020-01-23,514.3960000000001,Verão
753,2020-01-24,511.083,Verão
754,2020-01-25,710.0360000000001,Verão
755,2020-01-26,724.1899999999999,Verão
756,2020-01-27,675.907,Verão
757,2020-01-28,701.842,Verão
758,2020-01-29,487.167,Verão
759,2020-01-30,427.333,Verão
760,2020-01-31,482.17,Verão
761,2020-02-01,439.172,Verão
762,2020-02-02,396.174,Verão
763,2020-02-03,412.49,Verão
764,2020-02-04,403.415,Verão
765,2020-02-05,469.52500000000003,Verão
766,2020-02-06,461.693,Verão
767,2020-02-07,453.861,Verão
768,2020-02-08,493.415,Verão
